
NewRunat  10/10/2015 12:37:10
,Time,RandomCTR;CoLinCTR;accesses;click 
data,1241182800,0.0344126506024;0.0409342497415;32882.0;1346.0
data,1241182800,0.0344384384384;0.0409679473572;32977.0;1351.0
data,1241182800,0.0344700598802;0.0409952534994;33077.0;1356.0
data,1241182800,0.0344910447761;0.0410537738124;33176.0;1362.0
data,1241182800,0.0345014880952;0.0410707847614;33284.0;1367.0
data,1241182800,0.0345504451039;0.04110901524;33399.0;1373.0
data,1241183100,0.0345887573964;0.041267281794;33489.0;1382.0
data,1241183100,0.0345958702065;0.0413230521897;33589.0;1388.0
data,1241183100,0.0346485294118;0.0414255615894;33699.0;1396.0
data,1241183100,0.0346876832845;0.0415927109218;33804.0;1406.0
data,1241183100,0.0347105263158;0.0415609698543;33902.0;1409.0
data,1241183100,0.0347536443149;0.0417254763585;34008.0;1419.0
data,1241183100,0.0347819767442;0.0416385655221;34103.0;1420.0
data,1241183100,0.0348072463768;0.0416678850259;34199.0;1425.0
data,1241183100,0.0348554913295;0.0417128199149;34306.0;1431.0
data,1241183100,0.0348775216138;0.0416727209323;34411.0;1434.0
data,1241183400,0.0349051724138;0.0417161563197;34519.0;1440.0
data,1241183400,0.0349140401146;0.0417316467394;34626.0;1445.0
data,1241183400,0.0349314285714;0.0416966625392;34727.0;1448.0
data,1241183400,0.0349472934473;0.0418126471771;34822.0;1456.0
data,1241183400,0.0349786931818;0.041940012032;34907.0;1464.0
data,1241183400,0.0350084985836;0.0419892027764;35009.0;1470.0
data,1241183400,0.0350324858757;0.0419799498747;35112.0;1474.0
data,1241183400,0.0350647887324;0.0419578433044;35202.0;1477.0
data,1241183400,0.035077247191;0.0418920832743;35305.0;1479.0
data,1241183400,0.0351106442577;0.0418984161044;35419.0;1484.0
data,1241183700,0.0351340782123;0.0420172797118;35533.0;1493.0
data,1241183700,0.0351532033426;0.0420151557676;35630.0;1497.0
data,1241183700,0.0351666666667;0.0420654911839;35730.0;1503.0
data,1241183700,0.0351939058172;0.0420897021087;35852.0;1509.0
data,1241183700,0.0352279005525;0.0421872825936;35935.0;1516.0
data,1241183700,0.0352479338843;0.0421835539644;36033.0;1520.0
data,1241183700,0.0352568681319;0.0423341910849;36141.0;1530.0
data,1241183700,0.0352602739726;0.0423436594853;36251.0;1535.0
data,1241183700,0.0352773224044;0.0423805725915;36361.0;1541.0
data,1241183700,0.0353065395095;0.0423682334229;36466.0;1545.0
data,1241184000,0.0353097826087;0.0423193635693;36579.0;1548.0
data,1241184000,0.0353509485095;0.0424470434285;36681.0;1557.0
data,1241184000,0.0353675675676;0.0425410459933;36788.0;1565.0
data,1241184000,0.0354164420485;0.042641437827;36889.0;1573.0
data,1241184000,0.0354287634409;0.042617631152;36980.0;1576.0
data,1241184000,0.0354463806971;0.042688024162;37083.0;1583.0
data,1241184000,0.0354598930481;0.0426612903226;37200.0;1587.0
data,1241184000,0.035492;0.0426438660913;37309.0;1591.0
data,1241184000,0.0355066489362;0.0426532684804;37418.0;1596.0
data,1241184000,0.0355;0.0427448367755;37525.0;1604.0
data,1241184000,0.0355317460317;0.0427477669077;37616.0;1608.0
data,1241184300,0.0355527704485;0.0427601929908;37722.0;1613.0
data,1241184300,0.0355763157895;0.0428575205563;37823.0;1621.0
data,1241184300,0.0356049868766;0.0429392836419;37914.0;1628.0
data,1241184300,0.0356439790576;0.0430322478826;38018.0;1636.0
data,1241184300,0.0356697127937;0.0429935470332;38122.0;1639.0
data,1241184300,0.03569140625;0.0431733738029;38218.0;1650.0
data,1241184300,0.0356961038961;0.0431866812797;38322.0;1655.0
data,1241184300,0.0356994818653;0.0431263338712;38422.0;1657.0
data,1241184300,0.0357248062016;0.0432694803509;38526.0;1667.0
data,1241184300,0.03575;0.0433487842142;38617.0;1674.0
data,1241184600,0.035766066838;0.0434041674198;38729.0;1681.0
data,1241184600,0.0357692307692;0.0434032249755;38822.0;1685.0
data,1241184600,0.0357826086957;0.0433508929719;38915.0;1687.0
data,1241184600,0.0358329081633;0.0435763354865;39012.0;1700.0
data,1241184600,0.0358460559796;0.0436105217414;39119.0;1706.0
data,1241184600,0.0358705583756;0.0437586013558;39238.0;1717.0
data,1241184600,0.0359063291139;0.0438054559784;39333.0;1723.0
data,1241184600,0.0359255050505;0.043784701975;39443.0;1727.0
data,1241184600,0.0359332493703;0.0438015274898;39542.0;1732.0
data,1241184600,0.0359447236181;0.0437985669593;39636.0;1736.0
data,1241184900,0.0359561403509;0.0437989276814;39727.0;1740.0
data,1241184900,0.035985;0.0437292900894;39836.0;1742.0
data,1241184900,0.0359950124688;0.0436556609677;39949.0;1744.0
data,1241184900,0.0360161691542;0.0437812187812;40040.0;1753.0
data,1241184900,0.0360558312655;0.0439212755356;40140.0;1763.0
data,1241184900,0.0360915841584;0.0439437599364;40256.0;1769.0
data,1241184900,0.0361098765432;0.0439999008453;40341.0;1775.0
data,1241184900,0.0361034482759;0.0438965278465;40436.0;1775.0
data,1241184900,0.0361093366093;0.0440327593863;40538.0;1785.0
data,1241184900,0.0361299019608;0.0440123076923;40625.0;1788.0
data,1241184900,0.0361564792176;0.0440747012197;40749.0;1796.0
data,1241185200,0.0361731707317;0.0441136869936;40849.0;1802.0
data,1241185200,0.0362068126521;0.044189453125;40960.0;1810.0
data,1241185200,0.0362536407767;0.0441982223305;41065.0;1815.0
data,1241185200,0.0362760290557;0.0442705802313;41156.0;1822.0
data,1241185200,0.0363043478261;0.0442952043835;41246.0;1827.0
data,1241185200,0.0363409638554;0.0443552287898;41348.0;1834.0
data,1241185200,0.036359375;0.0443340247962;41458.0;1838.0
data,1241185200,0.036381294964;0.0443016652228;41556.0;1841.0
data,1241185200,0.0363935406699;0.0443820359569;41661.0;1849.0
data,1241185200,0.0364248210024;0.0445056260474;41770.0;1859.0
data,1241185500,0.0364464285714;0.0445590658357;41877.0;1866.0
data,1241185500,0.0364560570071;0.0445958501084;41977.0;1872.0
data,1241185500,0.0364763033175;0.0444919786096;42075.0;1872.0
data,1241185500,0.0364787234043;0.044554572831;42173.0;1879.0
data,1241185500,0.0364846698113;0.0446610209585;42274.0;1888.0
data,1241185500,0.0364952941176;0.0447785855915;42364.0;1897.0
data,1241185500,0.036515258216;0.0448639487807;42484.0;1906.0
data,1241185500,0.0365281030445;0.044858847292;42578.0;1910.0
data,1241185500,0.0365432242991;0.0448411582794;42684.0;1914.0
data,1241185500,0.0365769230769;0.0447618157169;42782.0;1915.0
data,1241185500,0.0365930232558;0.0448217159115;42881.0;1922.0
data,1241185800,0.0366148491879;0.0448049529839;42964.0;1925.0
