Ã¿´ÎÊ¹ÓÃ×îÓÅarm¸üĞÂA£¬b»¹ÊÇÊ¹ÓÃÏëÓ®µÄrewardÀ´¸üĞÂ£¬½á¹ûºÜ²î
New Run at  12/23/2016 10:11:40
, Time, RandomReward; LinUCBReward; 
data,1175378400000,25;7511;36
data,1275343200000,25;14476;36
data,1222812000000,25;14946;36
data,1207000800000,25;17534;36
data,1285884000000,25;818;36
data,1272664800000,25;15448;36
data,1264978800000,25;5419;36
data,1285884000000,25;9416;36
data,1159653600000,25;11547;36
data,1262300400000,25;1666;36
data,1175378400000,25;170;36
data,1230764400000,25;14953;36
data,1217541600000,25;5030;36
data,1272664800000,25;4099;36
data,1262300400000,25;7855;36
data,1146434400000,25;2918;36
data,1222812000000,25;1962;36
data,1246399200000,25;13845;36
data,1267398000000,25;4995;36
data,1285884000000,25;11701;36
data,1235862000000,25;1537;36
data,1283292000000,25;14807;36
data,1228086000000,25;16591;36
data,1162335600000,25;4822;36
data,1291158000000,25;7889;36
data,1214863200000,25;10487;36
data,1272664800000,25;12392;36
data,1249077600000,25;11054;36
data,1238536800000,25;4254;36
data,1183240800000,25;16626;36
data,1233442800000,25;16686;36
data,1254348000000,25;18583;36
data,1270072800000,25;4738;36
data,1201820400000,25;49;36
data,1225494000000,25;8382;36
data,1175378400000,25;536;36
data,1230764400000,26;5116;36
data,1264978800000,26;2420;36
data,1275343200000,26;2948;36
data,1254348000000,26;16678;36
data,1199142000000,26;13638;36
data,1233442800000,26;17951;36
data,1172703600000,26;3097;36
data,1280613600000,26;10923;36
data,1280613600000,26;4947;36
data,1288566000000,26;17289;36
data,1293836400000,26;16842;36
data,1272664800000,26;8933;36
data,1251756000000,26;14634;36
data,1249077600000,26;12917;36
data,1154383200000,26;1573;36
data,1193871600000,26;18331;36
data,1285884000000,26;11703;36
data,1222812000000,26;985;36
data,1185919200000,26;9810;36
data,1220220000000,26;1079;36
data,1243807200000,26;13406;36
data,1230764400000,26;190;37
data,1235862000000,27;5044;37
data,1257030000000,27;9802;37
data,1220220000000,27;4677;37
data,1267398000000,27;1424;38
data,1304606269069,27;7938;38
data,1288566000000,28;9265;38
data,1196463600000,29;13843;38
data,1167606000000,29;17473;38
data,1167606000000,29;5301;38
data,1249077600000,29;3590;38
data,1241128800000,29;2129;38
data,1277935200000,29;12917;38
data,1296514800000,29;1008;38
data,1212271200000,29;4896;38
data,1280613600000,29;8867;38
data,1172703600000,30;6600;38
data,1298934000000,30;15984;38
data,1122847200000,30;6835;38
data,1298934000000,30;3456;38
data,1262300400000,30;7871;38
data,1188597600000,30;16616;38
data,1249077600000,30;7713;38
data,1220220000000,30;4510;38
data,1251756000000,30;4167;38
data,1235862000000,30;220;38
data,1222812000000,30;9466;38
data,1296514800000,30;4835;38
data,1209592800000,30;441;39
data,1222812000000,30;10555;39
data,1209592800000,30;503;39
data,1149112800000,30;7802;39
data,1304695858589,30;15869;39
data,1304600812604,30;10609;39
data,1225494000000,30;12612;39
data,1254348000000,30;15998;39
data,1254348000000,30;11547;39
data,1243807200000,30;7831;39
data,1275343200000,30;1614;39
data,1304599307246,31;7358;39
data,1262300400000,31;15272;39
data,1167606000000,31;229;39
data,1259622000000,31;10565;39
data,1285884000000,31;14628;39
data,1230764400000,31;15787;39
data,1233442800000,31;3641;39
data,1254348000000,31;3308;39
data,1257030000000,31;1611;39
data,1270072800000,31;16823;39
data,1212271200000,31;14350;39
data,1291158000000,31;1611;39
data,1280613600000,31;209;40
data,1235862000000,32;3752;40
data,1238536800000,32;4168;40
data,1267398000000,32;6570;40
data,1188597600000,32;3331;40
data,1275343200000,32;7822;40
data,1157061600000,32;1131;40
data,1249077600000,32;10597;40
data,1214863200000,32;316;41
data,1264978800000,32;14443;41
data,1209592800000,32;14809;41
data,1209592800000,32;718;41
